from_stop_I;to_stop_I;attr_dict
2560;2561;{'duration_avg': 120.0, 'n_vehicles': 230, 'route_I_counts': {1050: 118, 1052: 112}, 'd': 1762}
2560;2559;{'duration_avg': 180.0, 'n_vehicles': 136, 'route_I_counts': {1048: 118, 1049: 18}, 'd': 2371}
2560;2391;{'duration_avg': 120.32786885245902, 'n_vehicles': 366, 'route_I_counts': {1048: 118, 1049: 19, 1050: 118, 1052: 111}, 'd': 1515}
2561;2560;{'duration_avg': 120.0, 'n_vehicles': 229, 'route_I_counts': {1050: 118, 1052: 111}, 'd': 1762}
2561;2506;{'duration_avg': 120.0, 'n_vehicles': 118, 'route_I_counts': {1050: 118}, 'd': 997}
2561;2365;{'duration_avg': 180.0, 'n_vehicles': 112, 'route_I_counts': {1052: 112}, 'd': 3417}
10411;2505;{'duration_avg': 120.0, 'n_vehicles': 18, 'route_I_counts': {1315: 18}, 'd': 1126}
10411;10412;{'duration_avg': 120.0, 'n_vehicles': 18, 'route_I_counts': {1315: 18}, 'd': 1306}
2390;2026;{'duration_avg': 120.0, 'n_vehicles': 369, 'route_I_counts': {1048: 122, 1049: 19, 1050: 119, 1052: 109}, 'd': 1032}
2390;2391;{'duration_avg': 97.15068493150685, 'n_vehicles': 365, 'route_I_counts': {1048: 121, 1049: 18, 1050: 119, 1052: 107}, 'd': 1246}
3079;3129;{'duration_avg': 180.0, 'n_vehicles': 14, 'route_I_counts': {1318: 14}, 'd': 2672}
521;145;{'duration_avg': 480.0, 'n_vehicles': 1, 'route_I_counts': {1230: 1}, 'd': 11692}
521;659;{'duration_avg': 185.85365853658536, 'n_vehicles': 41, 'route_I_counts': {1281: 1, 1226: 18, 1292: 1, 1338: 1, 1230: 20}, 'd': 4916}
521;356;{'duration_avg': 306.2068965517241, 'n_vehicles': 58, 'route_I_counts': {1281: 10, 1235: 1, 1226: 16, 1340: 20, 1229: 10, 1230: 1}, 'd': 6897}
521;389;{'duration_avg': 476.8421052631579, 'n_vehicles': 19, 'route_I_counts': {1338: 19}, 'd': 9671}
521;553;{'duration_avg': 120.0, 'n_vehicles': 121, 'route_I_counts': {1048: 121}, 'd': 829}
521;4235;{'duration_avg': 335.0, 'n_vehicles': 36, 'route_I_counts': {1281: 18, 1338: 18}, 'd': 7788}
521;403;{'duration_avg': 416.47058823529414, 'n_vehicles': 17, 'route_I_counts': {1230: 17}, 'd': 8013}
521;542;{'duration_avg': 181.93548387096774, 'n_vehicles': 31, 'route_I_counts': {1340: 21, 1229: 10}, 'd': 3789}
3082;3057;{'duration_avg': 120.0, 'n_vehicles': 19, 'route_I_counts': {1265: 1, 1314: 18}, 'd': 1879}
1879;1880;{'duration_avg': 80.625, 'n_vehicles': 352, 'route_I_counts': {1048: 121, 1050: 120, 1052: 111}, 'd': 615}
1879;1878;{'duration_avg': 120.0, 'n_vehicles': 352, 'route_I_counts': {1048: 121, 1050: 120, 1052: 111}, 'd': 1062}
1036;1121;{'duration_avg': 120.0, 'n_vehicles': 120, 'route_I_counts': {1018: 64, 1020: 56}, 'd': 1376}
1036;1047;{'duration_avg': 120.0, 'n_vehicles': 119, 'route_I_counts': {1018: 64, 1020: 55}, 'd': 1175}
7182;7186;{'duration_avg': 849.0, 'n_vehicles': 20, 'route_I_counts': {1233: 19, 1292: 1}, 'd': 13136}
7182;7187;{'duration_avg': 180.0, 'n_vehicles': 18, 'route_I_counts': {1320: 18}, 'd': 1571}
7182;2028;{'duration_avg': 1337.142857142857, 'n_vehicles': 21, 'route_I_counts': {1338: 21}, 'd': 27160}
7182;2933;{'duration_avg': 780.0, 'n_vehicles': 17, 'route_I_counts': {1235: 1, 1292: 16}, 'd': 19367}
7182;7183;{'duration_avg': 120.0, 'n_vehicles': 63, 'route_I_counts': {1038: 61, 1039: 2}, 'd': 2489}
7183;7184;{'duration_avg': 180.0, 'n_vehicles': 63, 'route_I_counts': {1038: 61, 1039: 2}, 'd': 3401}
7183;7182;{'duration_avg': 180.0, 'n_vehicles': 63, 'route_I_counts': {1038: 61, 1039: 2}, 'd': 2489}
7184;7185;{'duration_avg': 138.0, 'n_vehicles': 90, 'route_I_counts': {1054: 27, 1038: 61, 1039: 2}, 'd': 2637}
7184;7183;{'duration_avg': 180.0, 'n_vehicles': 63, 'route_I_counts': {1038: 61, 1039: 2}, 'd': 3401}
7185;7184;{'duration_avg': 180.0, 'n_vehicles': 90, 'route_I_counts': {1054: 27, 1038: 61, 1039: 2}, 'd': 2637}
7185;2881;{'duration_avg': 300.0, 'n_vehicles': 90, 'route_I_counts': {1054: 27, 1038: 61, 1039: 2}, 'd': 5309}
7186;6530;{'duration_avg': 420.0, 'n_vehicles': 20, 'route_I_counts': {1282: 3, 1309: 17}, 'd': 8891}
7186;2476;{'duration_avg': 540.0, 'n_vehicles': 38, 'route_I_counts': {1282: 19, 1292: 1, 1230: 18}, 'd': 10081}
7186;3037;{'duration_avg': 148.0, 'n_vehicles': 120, 'route_I_counts': {1058: 61, 1059: 3, 1036: 50, 1037: 6}, 'd': 2240}
7186;7182;{'duration_avg': 911.4285714285714, 'n_vehicles': 21, 'route_I_counts': {1233: 20, 1235: 1}, 'd': 13136}
7186;7167;{'duration_avg': 777.0, 'n_vehicles': 20, 'route_I_counts': {1233: 20}, 'd': 20779}
7187;7182;{'duration_avg': 183.33333333333334, 'n_vehicles': 18, 'route_I_counts': {1320: 18}, 'd': 1571}
1047;1036;{'duration_avg': 120.0, 'n_vehicles': 120, 'route_I_counts': {1018: 64, 1020: 56}, 'd': 1175}
1047;1014;{'duration_avg': 60.0, 'n_vehicles': 119, 'route_I_counts': {1018: 64, 1020: 55}, 'd': 905}
8729;8730;{'duration_avg': 180.0, 'n_vehicles': 64, 'route_I_counts': {1049: 64}, 'd': 3011}
8729;2391;{'duration_avg': 1151.111111111111, 'n_vehicles': 27, 'route_I_counts': {1316: 19, 1215: 8}, 'd': 22923}
8730;8729;{'duration_avg': 180.0, 'n_vehicles': 64, 'route_I_counts': {1049: 64}, 'd': 3011}
