from_stop_I;to_stop_I;attr_dict
4873;4784;{'n_vehicles': 9, 'route_I_counts': {129: 1, 132: 6, 137: 2}, 'duration_avg': 980.0, 'd': 10362}
4873;4741;{'n_vehicles': 71, 'route_I_counts': {129: 71}, 'duration_avg': 274.6478873239437, 'd': 3774}
4715;4717;{'n_vehicles': 73, 'route_I_counts': {129: 73}, 'duration_avg': 180.0, 'd': 1839}
4715;4719;{'n_vehicles': 1, 'route_I_counts': {133: 1}, 'duration_avg': 120.0, 'd': 1058}
4716;4720;{'n_vehicles': 72, 'route_I_counts': {129: 72}, 'duration_avg': 120.0, 'd': 1059}
4716;4718;{'n_vehicles': 2, 'route_I_counts': {133: 2}, 'duration_avg': 180.0, 'd': 1836}
4717;4715;{'n_vehicles': 1, 'route_I_counts': {133: 1}, 'duration_avg': 120.0, 'd': 1839}
4717;4773;{'n_vehicles': 73, 'route_I_counts': {129: 73}, 'duration_avg': 195.6164383561644, 'd': 1692}
4718;4716;{'n_vehicles': 72, 'route_I_counts': {129: 72}, 'duration_avg': 120.0, 'd': 1836}
4718;4773;{'n_vehicles': 2, 'route_I_counts': {133: 2}, 'duration_avg': 210.0, 'd': 1695}
4719;4722;{'n_vehicles': 1, 'route_I_counts': {133: 1}, 'duration_avg': 60.0, 'd': 1116}
4719;4715;{'n_vehicles': 73, 'route_I_counts': {129: 73}, 'duration_avg': 120.0, 'd': 1058}
4720;4721;{'n_vehicles': 72, 'route_I_counts': {129: 72}, 'duration_avg': 105.0, 'd': 1107}
4720;4716;{'n_vehicles': 2, 'route_I_counts': {133: 2}, 'duration_avg': 120.0, 'd': 1059}
4721;4720;{'n_vehicles': 2, 'route_I_counts': {133: 2}, 'duration_avg': 60.0, 'd': 1107}
4721;4724;{'n_vehicles': 72, 'route_I_counts': {129: 72}, 'duration_avg': 105.83333333333333, 'd': 1202}
4722;4723;{'n_vehicles': 1, 'route_I_counts': {133: 1}, 'duration_avg': 60.0, 'd': 1188}
4722;4719;{'n_vehicles': 73, 'route_I_counts': {129: 73}, 'duration_avg': 60.0, 'd': 1116}
4723;4722;{'n_vehicles': 73, 'route_I_counts': {129: 73}, 'duration_avg': 60.0, 'd': 1188}
4723;4727;{'n_vehicles': 1, 'route_I_counts': {133: 1}, 'duration_avg': 60.0, 'd': 624}
4724;4721;{'n_vehicles': 2, 'route_I_counts': {133: 2}, 'duration_avg': 60.0, 'd': 1202}
4724;4725;{'n_vehicles': 72, 'route_I_counts': {129: 72}, 'duration_avg': 60.0, 'd': 610}
4725;4792;{'n_vehicles': 42, 'route_I_counts': {129: 42}, 'duration_avg': 141.42857142857142, 'd': 1186}
4725;4723;{'n_vehicles': 73, 'route_I_counts': {129: 73}, 'duration_avg': 60.0, 'd': 612}
4725;4773;{'n_vehicles': 3, 'route_I_counts': {135: 3}, 'duration_avg': 800.0, 'd': 7438}
4725;4766;{'n_vehicles': 30, 'route_I_counts': {129: 30}, 'duration_avg': 120.0, 'd': 1343}
4726;4724;{'n_vehicles': 2, 'route_I_counts': {133: 2}, 'duration_avg': 60.0, 'd': 627}
4726;4773;{'n_vehicles': 13, 'route_I_counts': {133: 13}, 'duration_avg': 664.6153846153846, 'd': 7447}
4727;4765;{'n_vehicles': 4, 'route_I_counts': {133: 4}, 'duration_avg': 120.0, 'd': 1316}
4727;4791;{'n_vehicles': 11, 'route_I_counts': {132: 1, 133: 10}, 'duration_avg': 201.8181818181818, 'd': 2852}
4730;4807;{'n_vehicles': 42, 'route_I_counts': {129: 42}, 'duration_avg': 265.7142857142857, 'd': 2792}
4731;4812;{'n_vehicles': 42, 'route_I_counts': {129: 42}, 'duration_avg': 120.0, 'd': 1384}
4732;4811;{'n_vehicles': 4, 'route_I_counts': {140: 4}, 'duration_avg': 255.0, 'd': 4213}
4732;4764;{'n_vehicles': 16, 'route_I_counts': {136: 16}, 'duration_avg': 247.5, 'd': 4207}
4732;4805;{'n_vehicles': 1, 'route_I_counts': {140: 1}, 'duration_avg': 1020.0, 'd': 11486}
4732;4827;{'n_vehicles': 20, 'route_I_counts': {136: 17, 140: 3}, 'duration_avg': 285.0, 'd': 3961}
4733;4763;{'n_vehicles': 7, 'route_I_counts': {143: 7}, 'duration_avg': 257.14285714285717, 'd': 4200}
4734;4827;{'n_vehicles': 8, 'route_I_counts': {145: 8}, 'duration_avg': 285.0, 'd': 4047}
4735;4795;{'n_vehicles': 39, 'route_I_counts': {130: 28, 131: 2, 139: 1, 134: 8}, 'duration_avg': 147.69230769230768, 'd': 2220}
4736;4789;{'n_vehicles': 43, 'route_I_counts': {137: 2, 130: 28, 131: 1, 134: 12}, 'duration_avg': 61.395348837209305, 'd': 933}
4737;4786;{'n_vehicles': 1, 'route_I_counts': {139: 1}, 'duration_avg': 60.0, 'd': 525}
4737;4773;{'n_vehicles': 128, 'route_I_counts': {145: 11, 129: 77, 130: 19, 133: 19, 137: 2}, 'duration_avg': 157.5, 'd': 842}
4737;4774;{'n_vehicles': 6, 'route_I_counts': {132: 6}, 'duration_avg': 260.0, 'd': 843}
4738;4787;{'n_vehicles': 137, 'route_I_counts': {129: 75, 130: 21, 131: 2, 133: 16, 135: 5, 141: 5, 143: 13}, 'duration_avg': 92.4087591240876, 'd': 513}
4739;4745;{'n_vehicles': 76, 'route_I_counts': {129: 76}, 'duration_avg': 75.0, 'd': 1036}
4739;4755;{'n_vehicles': 1, 'route_I_counts': {139: 1}, 'duration_avg': 240.0, 'd': 2956}
4739;4799;{'n_vehicles': 3, 'route_I_counts': {137: 2, 132: 1}, 'duration_avg': 140.0, 'd': 1851}
4740;4756;{'n_vehicles': 5, 'route_I_counts': {135: 5}, 'duration_avg': 240.0, 'd': 2953}
4740;4758;{'n_vehicles': 75, 'route_I_counts': {129: 75}, 'duration_avg': 120.0, 'd': 1589}
4741;4809;{'n_vehicles': 71, 'route_I_counts': {129: 71}, 'duration_avg': 120.0, 'd': 2149}
4742;4874;{'n_vehicles': 70, 'route_I_counts': {129: 70}, 'duration_avg': 336.85714285714283, 'd': 3798}
4743;4755;{'n_vehicles': 76, 'route_I_counts': {129: 76}, 'duration_avg': 105.78947368421052, 'd': 981}
4744;4754;{'n_vehicles': 75, 'route_I_counts': {129: 75}, 'duration_avg': 117.6, 'd': 959}
4745;4799;{'n_vehicles': 76, 'route_I_counts': {129: 76}, 'duration_avg': 75.0, 'd': 815}
4746;4740;{'n_vehicles': 75, 'route_I_counts': {129: 75}, 'duration_avg': 62.4, 'd': 1025}
4749;4751;{'n_vehicles': 71, 'route_I_counts': {129: 71}, 'duration_avg': 108.16901408450704, 'd': 795}
4750;4777;{'n_vehicles': 70, 'route_I_counts': {129: 70}, 'duration_avg': 120.0, 'd': 1451}
4751;4784;{'n_vehicles': 71, 'route_I_counts': {129: 71}, 'duration_avg': 169.01408450704224, 'd': 950}
4752;4750;{'n_vehicles': 70, 'route_I_counts': {129: 70}, 'duration_avg': 62.57142857142857, 'd': 779}
4753;4743;{'n_vehicles': 76, 'route_I_counts': {129: 76}, 'duration_avg': 105.0, 'd': 963}
4754;4785;{'n_vehicles': 75, 'route_I_counts': {129: 75}, 'duration_avg': 124.0, 'd': 1154}
4755;4784;{'n_vehicles': 1, 'route_I_counts': {139: 1}, 'duration_avg': 300.0, 'd': 3030}
4755;4739;{'n_vehicles': 3, 'route_I_counts': {137: 2, 132: 1}, 'duration_avg': 260.0, 'd': 2956}
4755;4757;{'n_vehicles': 76, 'route_I_counts': {129: 76}, 'duration_avg': 105.78947368421052, 'd': 1362}
