from_stop_I;to_stop_I;attr_dict
5121;4947;{'n_vehicles': 98, 'route_I_counts': {312: 98}, 'duration_avg': 60.0, 'd': 1092}
5122;5088;{'n_vehicles': 97, 'route_I_counts': {321: 97}, 'duration_avg': 120.0, 'd': 2111}
5435;5729;{'n_vehicles': 97, 'route_I_counts': {321: 97}, 'duration_avg': 180.0, 'd': 3954}
4097;2896;{'n_vehicles': 7, 'route_I_counts': {323: 1, 324: 6}, 'duration_avg': 488.57142857142856, 'd': 8816}
4097;6355;{'n_vehicles': 7, 'route_I_counts': {323: 1, 324: 6}, 'duration_avg': 411.42857142857144, 'd': 8311}
4097;4004;{'n_vehicles': 73, 'route_I_counts': {320: 7, 322: 33, 319: 33}, 'duration_avg': 240.0, 'd': 3594}
4097;4111;{'n_vehicles': 72, 'route_I_counts': {320: 9, 322: 32, 319: 31}, 'duration_avg': 120.0, 'd': 1435}
3082;3052;{'n_vehicles': 72, 'route_I_counts': {320: 9, 322: 32, 319: 31}, 'duration_avg': 120.0, 'd': 1656}
3082;4620;{'n_vehicles': 73, 'route_I_counts': {320: 7, 322: 33, 319: 33}, 'duration_avg': 147.94520547945206, 'd': 1249}
6359;6360;{'n_vehicles': 7, 'route_I_counts': {323: 1, 324: 6}, 'duration_avg': 411.42857142857144, 'd': 7040}
6359;6362;{'n_vehicles': 41, 'route_I_counts': {320: 9, 322: 32}, 'duration_avg': 120.0, 'd': 1879}
4620;3224;{'n_vehicles': 73, 'route_I_counts': {320: 7, 322: 33, 319: 33}, 'duration_avg': 120.0, 'd': 1728}
4620;3082;{'n_vehicles': 72, 'route_I_counts': {320: 9, 322: 32, 319: 31}, 'duration_avg': 120.0, 'd': 1249}
4110;4097;{'n_vehicles': 73, 'route_I_counts': {320: 7, 322: 33, 319: 33}, 'duration_avg': 120.0, 'd': 1436}
5485;5452;{'n_vehicles': 98, 'route_I_counts': {313: 78, 314: 19, 316: 1}, 'duration_avg': 120.0, 'd': 1211}
3224;4620;{'n_vehicles': 72, 'route_I_counts': {320: 9, 322: 32, 319: 31}, 'duration_avg': 123.33333333333333, 'd': 1728}
3224;4110;{'n_vehicles': 73, 'route_I_counts': {320: 7, 322: 33, 319: 33}, 'duration_avg': 120.0, 'd': 1146}
6361;6360;{'n_vehicles': 41, 'route_I_counts': {320: 9, 322: 32}, 'duration_avg': 187.3170731707317, 'd': 2745}
6361;6362;{'n_vehicles': 40, 'route_I_counts': {320: 7, 322: 33}, 'duration_avg': 181.5, 'd': 3067}
7064;6965;{'n_vehicles': 98, 'route_I_counts': {313: 78, 314: 19, 316: 1}, 'duration_avg': 239.3877551020408, 'd': 2739}
7065;5916;{'n_vehicles': 100, 'route_I_counts': {313: 77, 314: 21, 316: 2}, 'duration_avg': 180.0, 'd': 3481}
5916;7064;{'n_vehicles': 98, 'route_I_counts': {313: 78, 314: 19, 316: 1}, 'duration_avg': 180.6122448979592, 'd': 3482}
5916;5798;{'n_vehicles': 100, 'route_I_counts': {313: 77, 314: 21, 316: 2}, 'duration_avg': 120.0, 'd': 2108}
