from_stop_I;to_stop_I;attr_dict
7907;7869;{'route_I_counts': {968: 23}, 'n_vehicles': 23, 'duration_avg': 330.0, 'd': 4056}
7855;7856;{'route_I_counts': {957: 33}, 'n_vehicles': 33, 'duration_avg': 270.0, 'd': 4865}
7855;7866;{'route_I_counts': {952: 33, 954: 36}, 'n_vehicles': 69, 'duration_avg': 150.0, 'd': 2160}
7855;7870;{'route_I_counts': {973: 33}, 'n_vehicles': 33, 'duration_avg': 240.0, 'd': 2564}
7855;7911;{'route_I_counts': {964: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 120.0, 'd': 1696}
7898;7860;{'route_I_counts': {968: 23, 969: 32, 967: 12}, 'n_vehicles': 67, 'duration_avg': 224.32835820895522, 'd': 4388}
7898;7909;{'route_I_counts': {960: 21, 970: 31, 959: 12}, 'n_vehicles': 64, 'duration_avg': 179.0625, 'd': 2519}
7853;7883;{'route_I_counts': {962: 56, 971: 34, 956: 23, 967: 12}, 'n_vehicles': 125, 'duration_avg': 155.52, 'd': 2071}
7853;7885;{'route_I_counts': {961: 37}, 'n_vehicles': 37, 'duration_avg': 180.0, 'd': 3286}
7853;7903;{'route_I_counts': {953: 29, 974: 57, 959: 12}, 'n_vehicles': 98, 'duration_avg': 192.55102040816325, 'd': 2899}
7854;4314;{'route_I_counts': {969: 32}, 'n_vehicles': 32, 'duration_avg': 300.0, 'd': 2831}
7901;7861;{'route_I_counts': {962: 56, 971: 34, 956: 23, 967: 12}, 'n_vehicles': 125, 'duration_avg': 136.32, 'd': 1734}
7901;7887;{'route_I_counts': {953: 29, 961: 37, 974: 57, 959: 12}, 'n_vehicles': 135, 'duration_avg': 104.66666666666667, 'd': 917}
7856;7890;{'route_I_counts': {957: 33}, 'n_vehicles': 33, 'duration_avg': 450.0, 'd': 7835}
7856;7866;{'route_I_counts': {964: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 180.0, 'd': 2816}
7856;7877;{'route_I_counts': {952: 33, 954: 36}, 'n_vehicles': 69, 'duration_avg': 120.0, 'd': 1952}
7856;7855;{'route_I_counts': {973: 33}, 'n_vehicles': 33, 'duration_avg': 270.0, 'd': 4865}
7857;7897;{'route_I_counts': {953: 29, 974: 57, 959: 12}, 'n_vehicles': 98, 'duration_avg': 210.0, 'd': 3109}
7857;7884;{'route_I_counts': {962: 56, 956: 23, 967: 12}, 'n_vehicles': 91, 'duration_avg': 90.0, 'd': 1181}
7858;7860;{'route_I_counts': {960: 21, 970: 31}, 'n_vehicles': 52, 'duration_avg': 180.0, 'd': 4169}
7859;7886;{'route_I_counts': {955: 2, 966: 33}, 'n_vehicles': 35, 'duration_avg': 150.0, 'd': 3182}
7859;7863;{'route_I_counts': {972: 1, 965: 34}, 'n_vehicles': 35, 'duration_avg': 90.0, 'd': 1996}
7860;7898;{'route_I_counts': {960: 21, 970: 31, 959: 12}, 'n_vehicles': 64, 'duration_avg': 205.78125, 'd': 4388}
7860;7858;{'route_I_counts': {968: 23, 969: 32}, 'n_vehicles': 55, 'duration_avg': 180.0, 'd': 4169}
7902;7908;{'route_I_counts': {962: 56, 971: 34, 956: 23, 967: 12}, 'n_vehicles': 125, 'duration_avg': 90.0, 'd': 850}
7902;7861;{'route_I_counts': {953: 29, 961: 37, 974: 57, 959: 12}, 'n_vehicles': 135, 'duration_avg': 120.0, 'd': 2137}
7863;7881;{'route_I_counts': {972: 1, 965: 34}, 'n_vehicles': 35, 'duration_avg': 90.0, 'd': 766}
7863;7859;{'route_I_counts': {955: 2, 966: 33}, 'n_vehicles': 35, 'duration_avg': 120.0, 'd': 1996}
7864;7865;{'route_I_counts': {955: 2, 966: 33}, 'n_vehicles': 35, 'duration_avg': 120.0, 'd': 1322}
7865;7864;{'route_I_counts': {972: 1, 965: 34}, 'n_vehicles': 35, 'duration_avg': 120.0, 'd': 1322}
7865;7881;{'route_I_counts': {955: 2, 966: 33}, 'n_vehicles': 35, 'duration_avg': 90.0, 'd': 1090}
7866;7856;{'route_I_counts': {952: 33, 954: 36}, 'n_vehicles': 69, 'duration_avg': 180.0, 'd': 2816}
7866;7855;{'route_I_counts': {964: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 150.0, 'd': 2160}
4319;4316;{'route_I_counts': {553: 23, 555: 51}, 'n_vehicles': 74, 'duration_avg': 180.0, 'd': 2664}
4319;4318;{'route_I_counts': {554: 23, 556: 51}, 'n_vehicles': 74, 'duration_avg': 239.1891891891892, 'd': 2656}
7868;7906;{'route_I_counts': {960: 21, 970: 31, 959: 12}, 'n_vehicles': 64, 'duration_avg': 128.90625, 'd': 1368}
