from_stop_I;to_stop_I;attr_dict
27137;27141;{'route_I_counts': {1074: 35}, 'd': 1651, 'n_vehicles': 35, 'duration_avg': 150.85714285714286}
27137;27142;{'route_I_counts': {1074: 36}, 'd': 1976, 'n_vehicles': 36, 'duration_avg': 170.0}
27480;27481;{'route_I_counts': {1071: 106}, 'd': 1248, 'n_vehicles': 106, 'duration_avg': 70.18867924528301}
27480;27479;{'route_I_counts': {1071: 113}, 'd': 1650, 'n_vehicles': 113, 'duration_avg': 124.24778761061947}
19;626;{'route_I_counts': {164: 2, 166: 49, 167: 47}, 'd': 1579, 'n_vehicles': 98, 'duration_avg': 178.77551020408163}
19;371;{'route_I_counts': {169: 4, 170: 69, 171: 34}, 'd': 5120, 'n_vehicles': 107, 'duration_avg': 248.41121495327104}
24;824;{'route_I_counts': {164: 11, 166: 93, 167: 72}, 'd': 4099, 'n_vehicles': 176, 'duration_avg': 254.6590909090909}
24;312;{'route_I_counts': {165: 126}, 'd': 2332, 'n_vehicles': 126, 'duration_avg': 146.66666666666666}
24;216;{'route_I_counts': {168: 122, 169: 13, 170: 94, 171: 69}, 'd': 2696, 'n_vehicles': 298, 'duration_avg': 191.6778523489933}
27312;27313;{'route_I_counts': {1070: 78}, 'd': 1804, 'n_vehicles': 78, 'duration_avg': 122.3076923076923}
27312;27311;{'route_I_counts': {1070: 79}, 'd': 2879, 'n_vehicles': 79, 'duration_avg': 126.07594936708861}
36;704;{'route_I_counts': {166: 34}, 'd': 6698, 'n_vehicles': 34, 'duration_avg': 480.0}
36;394;{'route_I_counts': {170: 26}, 'd': 6861, 'n_vehicles': 26, 'duration_avg': 422.3076923076923}
36;635;{'route_I_counts': {166: 59, 167: 53}, 'd': 2730, 'n_vehicles': 112, 'duration_avg': 181.07142857142858}
36;613;{'route_I_counts': {170: 68, 171: 62}, 'd': 1347, 'n_vehicles': 130, 'duration_avg': 120.0}
27313;27312;{'route_I_counts': {1070: 79}, 'd': 1804, 'n_vehicles': 79, 'duration_avg': 120.0}
