from_stop_I;to_stop_I;attr_dict
260;16;{'d': 12211, 'duration_avg': 1102.5, 'n_vehicles': 8, 'route_I_counts': {330: 8}}
260;25;{'d': 1026, 'duration_avg': 180.78947368421052, 'n_vehicles': 76, 'route_I_counts': {330: 76}}
260;26;{'d': 2997, 'duration_avg': 360.0, 'n_vehicles': 1, 'route_I_counts': {330: 1}}
260;24;{'d': 1322, 'duration_avg': 183.95604395604394, 'n_vehicles': 91, 'route_I_counts': {330: 91}}
8456;24;{'d': 4294, 'duration_avg': 750.0, 'n_vehicles': 2, 'route_I_counts': {332: 2}}
8456;9;{'d': 3284, 'duration_avg': 535.7142857142857, 'n_vehicles': 14, 'route_I_counts': {332: 14}}
8456;37;{'d': 2445, 'duration_avg': 360.0, 'n_vehicles': 25, 'route_I_counts': {332: 25}}
9;8456;{'d': 3284, 'duration_avg': 672.8571428571429, 'n_vehicles': 14, 'route_I_counts': {332: 14}}
9;37;{'d': 3340, 'duration_avg': 386.7153284671533, 'n_vehicles': 137, 'route_I_counts': {328: 63, 330: 40, 332: 34}}
9;23;{'d': 1517, 'duration_avg': 246.33165829145727, 'n_vehicles': 199, 'route_I_counts': {328: 67, 330: 83, 332: 49}}
10;32;{'d': 3178, 'duration_avg': 300.0, 'n_vehicles': 63, 'route_I_counts': {328: 63}}
267;194;{'d': 6898, 'duration_avg': 420.0, 'n_vehicles': 1, 'route_I_counts': {329: 1}}
267;268;{'d': 1865, 'duration_avg': 186.66666666666666, 'n_vehicles': 36, 'route_I_counts': {329: 36}}
267;266;{'d': 1166, 'duration_avg': 185.14285714285714, 'n_vehicles': 35, 'route_I_counts': {329: 35}}
268;266;{'d': 3031, 'duration_avg': 300.0, 'n_vehicles': 1, 'route_I_counts': {329: 1}}
268;194;{'d': 5034, 'duration_avg': 360.0, 'n_vehicles': 4, 'route_I_counts': {329: 4}}
268;267;{'d': 1865, 'duration_avg': 240.0, 'n_vehicles': 34, 'route_I_counts': {329: 34}}
268;269;{'d': 1044, 'duration_avg': 207.27272727272728, 'n_vehicles': 33, 'route_I_counts': {329: 33}}
269;193;{'d': 1213, 'duration_avg': 180.0, 'n_vehicles': 12, 'route_I_counts': {329: 12}}
